ImageId,NameOfPokemon
1106.jpg,0
2236.jpg,2
1131.jpg,1
2221.jpg,0
2011.jpg,0
2030.jpg,0
2035.jpg,0
1110.jpg,1
1104.jpg,1
2217.jpg,0
1111.jpg,0
1100.jpg,1
1112.jpg,2
1138.jpg,2
2238.jpg,0
2009.jpg,1
2225.jpg,0
2240.jpg,2
2020.jpg,0
2209.jpg,0
2029.jpg,0
1114.jpg,1
2201.jpg,0
1118.jpg,1
2025.jpg,0
2202.jpg,0
1117.jpg,1
1119.jpg,1
2000.jpg,0
2007.jpg,0
2039.jpg,0
2017.jpg,0
2215.jpg,0
1120.jpg,0
2006.jpg,0
1116.jpg,1
1128.jpg,1
1125.jpg,1
2203.jpg,1
1133.jpg,0
1137.jpg,0
2220.jpg,2
2012.jpg,2
2224.jpg,0
2206.jpg,0
1122.jpg,0
2223.jpg,2
1102.jpg,1
2234.jpg,0
2216.jpg,0
2016.jpg,0
2227.jpg,2
2013.jpg,0
1113.jpg,1
2204.jpg,2
1101.jpg,0
2208.jpg,0
2024.jpg,0
2031.jpg,0
2222.jpg,2
2211.jpg,0
2033.jpg,0
2213.jpg,0
2231.jpg,0
2001.jpg,2
2040.jpg,2
1127.jpg,0
2023.jpg,0
2015.jpg,2
1121.jpg,0
2232.jpg,0
1139.jpg,0
1103.jpg,1
2018.jpg,0
2233.jpg,2
2212.jpg,2
2210.jpg,0
2228.jpg,2
2026.jpg,0
1132.jpg,0
2003.jpg,0
1129.jpg,1
2214.jpg,2
1123.jpg,1
2004.jpg,0
1136.jpg,0
1140.jpg,0
2226.jpg,0
2230.jpg,0
1135.jpg,1
1105.jpg,0
2237.jpg,2
1109.jpg,0
2022.jpg,0
2005.jpg,0
2218.jpg,0
2036.jpg,0
1115.jpg,1
2032.jpg,0
2200.jpg,0
1134.jpg,1
1130.jpg,0
1107.jpg,1
2034.jpg,0
2205.jpg,2
2008.jpg,1
2027.jpg,2
2028.jpg,0
2239.jpg,0
1108.jpg,0
2010.jpg,0
2229.jpg,1
2219.jpg,0
2019.jpg,2
2207.jpg,0
2002.jpg,0
2037.jpg,0
2038.jpg,0
1124.jpg,1
2014.jpg,0
2235.jpg,2
1126.jpg,1
2021.jpg,0
